staff_id,name,department,pay_period,hours_worked,gross_pay,tips,kpi_bonus,total_pay
S020,Zoriana T.,Nail Artists,16-30 Jun,62.08,1021.84,50.35,39.0,1111.19
S021,Khrystyna U.,Brow Artists,1-15 May,,894.45,0,0,894.45
S021,Khrystyna U.,Brow Artists,16-31 May,,1259.04,0,0,1259.04
S021,Khrystyna U.,Brow Artists,1-15 Jun,,1301.77,0,0,1301.77
S021,Khrystyna U.,Brow Artists,16-30 Jun,,1113.23,0,0,1113.23
S022,Oksana V.,Brow Artists,1-15 May,,973.49,0,0,973.49
S022,Oksana V.,Brow Artists,16-31 May,,1047.08,0,39.0,1086.08
S022,Oksana V.,Brow Artists,1-15 Jun,,457.87,0,0,457.87
S022,Oksana V.,Brow Artists,16-30 Jun,,818.85,0,0,818.85
S023,Nataliia W.,Brow Artists,1-15 May,,505.22,0,0,505.22
S023,Nataliia W.,Brow Artists,16-31 May,,722.16,0,0,722.16
S023,Nataliia W.,Brow Artists,1-15 Jun,,1292.78,0,56.0,1348.78
S023,Nataliia W.,Brow Artists,16-30 Jun,,597.61,0,0,597.61
S024,Ulyana X.,Admin,1-15 May,84.1,1187.49,39.3,0,1226.79
S024,Ulyana X.,Admin,16-31 May,107.09,1512.11,41.07,0,1553.18
S024,Ulyana X.,Admin,1-15 Jun,97.67,1379.1,15.36,56.0,1450.46
S024,Ulyana X.,Admin,16-30 Jun,40.75,575.39,28.33,56.0,659.72
S025,Oleksandra Y.,Admin,1-15 May,42.53,611.58,13.59,0,625.17
S025,Oleksandra Y.,Admin,16-31 May,77.78,1118.48,56.81,39.0,1214.29
S025,Oleksandra Y.,Admin,1-15 Jun,83.01,1193.68,45.37,17.5,1256.55
S025,Oleksandra Y.,Admin,16-30 Jun,99.41,1429.52,41.99,0,1471.51
S026,Vasylyna Z.,Cleaners,1-15 May,,144.85,0,17.5,162.35
S026,Vasylyna Z.,Cleaners,16-31 May,,434.55,0,17.5,452.05
S026,Vasylyna Z.,Cleaners,1-15 Jun,,173.82,0,17.5,191.32
S026,Vasylyna Z.,Cleaners,16-30 Jun,,318.67,0,0,318.67
S027,Ilona [.,Cleaners,1-15 May,,393.68,0,0,393.68
S027,Ilona [.,Cleaners,16-31 May,,281.2,0,39.0,320.2
S027,Ilona [.,Cleaners,1-15 Jun,,365.56,0,56.0,421.56
S027,Ilona [.,Cleaners,16-30 Jun,,337.44,0,0,337.44
